"Address","Content Type","Size (bytes)","IMG Inlinks","Indexability","Indexability Status","Dimensions"
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-what-i-do.jpg","image/jpeg","412548","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-character-voices.jpg","image/jpeg","480907","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-voice-of-santa.jpg","image/jpeg","576312","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-apple-voice.jpg","image/jpeg","296041","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-explainer-voices.jpg","image/jpeg","382595","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-commercial-voice.jpg","image/jpeg","546838","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-character-voices.webp","image/webp","103312","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceover-studio-yorkshire.webp","image/webp","106032","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/attenborough-script-generator.webp","image/webp","103954","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/cartoons/Voiceover-Cartoon-Santa-Magic-747x1024.webp","image/webp","106696","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/images/imaging-voice-og.webp","image/webp","130142","1","Indexable","",""
"https://www.voiceoverguy.co.uk/assets/img/blog/character-voiceovers.webp","image/webp","104680","7","Indexable","",""
