"Address","Indexability","Indexability Status","Crawl Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks"
"https://www.voiceoverguy.co.uk/etisalat-celebrating-victory-football-commentator-voice","Indexable","","2","","8","8","0","2.950","50","39","0","15","15","0"
"https://www.voiceoverguy.co.uk/betfred-football-commentator","Indexable","","2","","11","11","0","4.060","48","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/wilhelm-scream-shreek-shout-sfx-voiceover-film","Indexable","","2","","9","9","0","3.320","51","37","0","14","14","0"
"https://www.voiceoverguy.co.uk/manchester-city-football-commentry-voice","Indexable","","2","","16","14","0","5.170","50","36","0","14","14","0"
"https://www.voiceoverguy.co.uk/evil-character-voiceover","Indexable","","2","","12","10","0","3.690","48","36","0","14","14","0"
"https://www.voiceoverguy.co.uk/joker-voice","Indexable","","2","","12","10","0","3.690","50","40","0","14","14","0"
"https://www.voiceoverguy.co.uk/scary-movie-ghost-face-voice","Indexable","","2","","12","10","0","3.690","51","38","0","14","14","0"
"https://www.voiceoverguy.co.uk/spooky-halloween-laughs","Indexable","","2","","12","10","0","3.690","46","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/horizon-zero-dawn-voice","Indexable","","2","","13","12","0","4.430","49","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/cracking-ice-david-attenborough-impression","Indexable","","2","","10","10","0","3.690","44","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/turkish-bird-attenborough-voice","Indexable","","2","","11","9","0","3.320","45","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/natural-instincts-trailer-attenborough-voice","Indexable","","2","","4","4","0","1.480","53","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/dracula-voiceover-for-halloween","Indexable","","2","","12","11","0","4.060","45","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/ai-guy-human-vs-ai-voiceover","Indexable","","2","","7","7","0","2.580","40","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/david-attenborough-impression","Indexable","","2","","6","6","0","2.210","44","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/saturday-night-takeaway-voice","Indexable","","2","","8","8","0","2.950","44","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/4-music-id-mobile-sponsor-bumpers-voice","Indexable","","2","","8","8","0","2.950","45","35","0","15","15","0"
"https://www.voiceoverguy.co.uk/salter-blender-pro","Indexable","","2","","4","4","0","1.480","40","31","0","15","15","0"
"https://www.voiceoverguy.co.uk/cake-guy-lego-minifigure-voice","Indexable","","2","","5","5","0","1.850","44","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/gb-news-competition-voice","Indexable","","2","","10","9","0","3.320","45","37","0","14","14","0"
"https://www.voiceoverguy.co.uk/p-and-o-ferries-christmas-santa-voice","Indexable","","2","","5","5","0","1.850","43","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/minecraft-handbook-voiceover","Indexable","","2","","8","8","0","2.950","45","36","0","14","14","0"
"https://www.voiceoverguy.co.uk/nakd-bars-mind-blown-professor-voice","Indexable","","2","","7","7","0","2.580","44","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/motor-sport-racing-commentator-voice","Indexable","","2","","9","9","0","3.320","43","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/mustard-car-van-insurance-radio-advert-voiceover","Indexable","","2","","7","7","0","2.580","46","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/siegecraft-commander-trailer-voice","Indexable","","2","","12","12","0","4.430","41","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/boom-beach-hammerman-hot-tub-voice","Indexable","","2","","9","8","0","2.950","42","34","0","14","14","0"
"https://www.voiceoverguy.co.uk/cartoon-voiceover-guide","Indexable","","2","","4","4","0","1.480","43","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/alton-towers-scarefest-spooky-voice","Indexable","","2","","10","10","0","3.690","54","37","0","14","14","0"
"https://www.voiceoverguy.co.uk/hide-the-corpse-promo-voiceover","Indexable","","2","","8","8","0","2.950","44","36","0","16","16","0"
"https://www.voiceoverguy.co.uk/pantomime-dame-voice","Indexable","","2","","6","6","0","2.210","41","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/falcon-alkoholfri-attenborough-voice","Indexable","","2","","5","5","0","1.850","44","35","0","15","15","0"
"https://www.voiceoverguy.co.uk/father-christmas-santa-voiceover","Indexable","","2","","5","5","0","1.850","43","34","0","17","15","0"
"https://www.voiceoverguy.co.uk/vernon-kay-ultra-ultra-marathon-challenge-uk-trailer-voice","Indexable","","2","","6","6","0","2.210","42","35","0","14","14","0"
"https://www.voiceoverguy.co.uk/gooey-louie-voiceover","Indexable","","2","","9","9","0","3.320","48","37","0","15","15","0"
"https://www.voiceoverguy.co.uk/poundland-yoda-voice","Indexable","","2","","8","8","0","2.950","45","34","0","15","15","0"
"https://www.voiceoverguy.co.uk/thomas-friends-voiceover","Indexable","","2","","6","6","0","2.210","42","35","0","15","14","0"
"https://www.voiceoverguy.co.uk/kings-road-voiceover","Indexable","","2","","7","7","0","2.580","47","36","0","14","14","0"
"https://www.voiceoverguy.co.uk/vodafone-natural-voiceover","Indexable","","2","","7","7","0","2.580","42","33","0","14","14","0"
"https://www.voiceoverguy.co.uk/wirecard-male-voice-over","Indexable","","2","","7","7","0","2.580","44","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/go-to-malta-explainer-voice","Indexable","","2","","7","7","0","2.580","45","33","0","15","15","0"
"https://www.voiceoverguy.co.uk/war-friends-army-voice","Indexable","","2","","7","7","0","2.580","45","36","0","15","15","0"
"https://www.voiceoverguy.co.uk/traxart-explainer-voiceover","Indexable","","2","","8","8","0","2.950","47","35","0","14","14","0"
