"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://www.voiceoverguy.co.uk/attenborough-script-generator","1","A Fun, Free Attenborough-Style Script Generator by UK Voiceover Artist Guy Harris","81","","0","Indexable",""
"https://www.voiceoverguy.co.uk/gameshow-host","4","THIS MORNING Spin to Win Gameshow voice","39","Guy is heard frequently on ITV's flagship mid morning magazine show with Phil and Holly. The voice of the huge prizes when the celebrities are not voicing them. Then comes Spin to Win! Guy, you got a gameshow voice? Err, Yeah! This is where Phil and Holly spin the wheel and should it land on a holiday, thats when you'll hear that cheesy Gameshow Voice style. Some of the other exciting projects included an American gameshow voice promo on BBC Radio 1 for Headcam day too.","474","Indexable",""
"https://www.voiceoverguy.co.uk/kings-road-voiceover","3","English Movie Trailer Voice The client wanted something deep, dark and with impact. We auditioned various styles in the session, however this deep British voice seemed to suit the trailer. This is just another of the many video game trailers I am asked to voice regularly. If you'd like to see more examples, check out my Warwings, The Escapists, and Penarium game trailers.","374","What is King's Road?","20","Indexable",""
"https://www.voiceoverguy.co.uk/famous-voiceover-artists","15","Famous Voice Actors in Cartoons and Videogames: Who voices who?","63","Voiceover Guy’s run down of some of the world’s most famous voiceover artists and voice actors","94","Indexable",""
"https://www.voiceoverguy.co.uk/bank-sohar-explainer-voiceover","3","Check out the Bank Sohar App Explainer video","44","Bank Sohar Explainer Voiceover Bank Sohar S.A.O.G is one of the fastest growing banks in Oman. They help consumers and corporate businesses to fulfill their banking needs. In recent years, all of the best banks have dedicated time and money to developing banking apps. Modern life can get more than a little hectic and we don't often have time to visit an actual bank in person, so banking apps allow us to stay on top of our finances easily, when it suits us. You can get hole of the Bank Sohar app on both android and Apple iOS !","531","Indexable",""
"https://www.voiceoverguy.co.uk/guide-to-becoming-a-voiceover-artist","3","What Do Voiceover Artists Do?","29","Voiceover, Voice Over, Voice-over: are there other names for voiceover artists?","79","Indexable",""
