"Address","Content Type","Status Code","Status","HTTP Version","Indexability","Indexability Status","Canonical Link Element 1","Meta Robots 1","X-Robots-Tag 1"
"https://www.voiceoverguy.co.uk/tv-choice-awards-voice-of-god-voiceover","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/tv-choice-awards-voice-of-god-voiceover","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-disney-brand.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-mini.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/voiceover-news","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/voiceover-news","",""
"https://www.voiceoverguy.co.uk/apple-voice-style","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/apple-voice-style","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-capital.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-midea.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/why-use-voiceoverguy","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/why-use-voiceoverguy","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-explainer-voices.webp","image/webp","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-apple-voice.webp","image/webp","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/voiceoverguy-home-voice-of-santa.webp","image/webp","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-thomas-and-friends.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/_next/static/chunks/27bebc07-4e6cbdde44fcb542.js","application/javascript; charset=utf-8","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/FAQ","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/FAQ","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-p-and-o.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/on-hold-voice","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/on-hold-voice","",""
"https://www.voiceoverguy.co.uk/assets/images/vox-2019.webp","image/webp","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-harpic.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/commercial-voiceover","text/html; charset=utf-8","200","OK","1.1","Indexable","","https://www.voiceoverguy.co.uk/commercial-voiceover","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-maoam.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-mr-men.png","image/png","200","OK","1.1","Indexable","","","",""
"https://www.voiceoverguy.co.uk/assets/images/clients/voiceoverguy-clients-heart.png","image/png","200","OK","1.1","Indexable","","","",""
