"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://soundcloud.com/voiceoverguy","text/html","403","Forbidden","Non-Indexable","Client Error","270","0.083","",""
"https://boombeach.fandom.com/wiki/Lt._Hammerman","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","1","0.054","",""
"https://ttte.fandom.com/wiki/Thomas_%26_Friends:_All_Engines_Go","text/html; charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","2","0.050","",""
