"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Inlinks","Response Time","Redirect URL","Redirect Type"
"https://www.voiceoverguy.co.uk/studiotour/index.html","text/html","308","Permanent Redirect","Non-Indexable","Redirected","0","0.036","https://www.voiceoverguy.co.uk/studiotour","HTTP Redirect"
"https://www.voiceoverguy.co.uk/maskedsinger-voiceover","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.029","https://www.voiceoverguy.co.uk/masked-singer-voice-of-god-butlins","HTTP Redirect"
"https://www.voiceoverguy.co.uk/news-blog","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.032","https://www.voiceoverguy.co.uk/voiceover-news","HTTP Redirect"
"https://www.voiceoverguy.co.uk/british-voiceover","text/html","301","Moved Permanently","Non-Indexable","Redirected","1","0.017","https://www.voiceoverguy.co.uk/voiceoverguy","HTTP Redirect"
